ID, Accommodates:, Bathrooms:, Bedrooms:, Beds:, limpieza, extra, finde
5785036, 12, 2, 5, 6, €15, €25 / night after 4 guests, 
5799584, 1, 2, 1, 1, €5, , 
5848216, 3, 1, 1, 2, , €6 / night after the first guest, 
6359400, 8, 2, 3, 6, €70, €18 / night after 6 guests, €150 / night
6947961, 4, 1, 1, 2, , €10 / night after 2 guests, €120 / night
6962027, 6, 2, 4, 6, , €15 / night after 4 guests, 
7202213, 1, 1, 1, 1, , , 
7286180, 2, 1, 1, 2, , No Charge, €32 / night
7526957, 3, 1, 1, 3, , No Charge, €65 / night
7759167, 3, 1, 1, 2, , No Charge, 
8076303, 8, 1, 1, 8, , €15 / night after the first guest, 
8260557, 2, 1, Studio, 1, , No Charge, 
8303449, 5, 1, 2, 4, , No Charge, €90 / night
8439777, 8, 2, 3, 5, , €13 / night after 2 guests, 
8544232, 7, 1, 2, 6, , €9 / night after 4 guests, €128 / night
8648980, 4, 1, 1, 2, €14, €9 / night after 2 guests, €54 / night
8899996, 2, 1, 1, 1, , No Charge, 
8910699, 4, 1, 1, 4, , , 
8958076, 4, 1, 1, 2, , €12 / night after 2 guests, €40 / night
9274001, No longer available,,,,,, 
9405585, 5, 2, 3, 4, , No Charge, €105 / night
9469867, 3, 1, , 2, , €15 / night after 2 guests, €55 / night
9591092, 2, 1, 1, 2, , , €85 / night
9645118, 2, 1, 1, 2, €5, No Charge, 
9705797, 4, 1, 2, 2, €10, €25 / night after 2 guests, €55 / night
9893844, No longer available,,,,,, 
10013934, 6, 2, 2, 3, , No Charge, 
10057293, 6, 1.5, 3, 4, , No Charge, 
10129853, 6, 2, 2, 5, , No Charge, 
10130627, 4, 1, 1, 2, €20, €10 / night after 2 guests, 
10223181, 2, 2, 1, 2, , €25 / night after the first guest, 
10650016, 4, 1, 1, 4, , €15 / night after 2 guests, 
10665577, 5, 1.5, 3, 4, , €24 / night after 2 guests, €50 / night
10742869, 1, 1, 1, 1, €5, , €13 / night
10977854, 1, 1, 1, 1, , , 
11157511, 2, 1, Studio, 2, , No Charge, 
11419276, 4, 1, 3, 4, , No Charge, €50 / night
11856437, 2, 1, 1, 1, , No Charge, 
